wave flux err    
10589.4 42.6465 52.6013
10590.0 3.99208 55.1795
10590.6 31.8258 60.7607
10591.2 -39.8584 59.8142
10591.8 33.2054 53.4318
10592.4 34.2206 51.8595
10593.0 12.6649 51.3771
10593.6 61.7162 51.875
10594.2 -9.32734 50.0068
10594.8 20.6365 48.2929
10595.4 4.59998 48.3953
10596.0 17.4011 48.6372
10596.6 11.8475 48.4606
10597.2 60.8837 48.831
10597.8 73.8056 48.7473
10598.4 2.51914 49.623
10599.0 32.1161 48.8301
10599.6 59.683 51.0931
10600.2 41.2094 49.1081
10600.8 -1.13896 49.1139
10601.4 61.9376 49.0036
10602.0 4.84532 47.8941
10602.6 26.6933 48.0738
10603.2 15.4434 50.4071
10603.8 36.0463 57.642
10604.4 5.01103 64.4299
10605.0 156.207 71.2282
10605.6 -11.2103 61.4197
10606.2 -25.5471 57.1484
10606.8 14.1674 57.2834
10607.4 -1.69709 64.1935
10608.0 29.509 63.6469
10608.6 28.1636 57.7856
10609.2 17.8657 61.1319
10609.8 72.1383 63.1132
10610.4 35.0944 57.8039
10611.0 158.6 51.4323
10611.6 19.2406 52.3929
10612.2 78.4886 49.2657
10612.8 6.60034 49.4617
10613.4 35.2967 48.7221
10614.0 34.6603 49.0812
10614.6 29.9091 49.4548
10615.2 17.0364 49.6922
10615.8 45.5282 49.5684
10616.4 31.003 49.8298
10617.0 37.773 50.5887
10617.6 12.5642 49.7701
10618.2 17.9882 54.6317
10618.8 61.232 58.8598
10619.4 5.45095 58.2056
10620.0 34.8 50.2114
10620.6 35.7751 50.2208
10621.2 -30.6356 50.3781
10621.8 36.491 50.5959
10622.4 52.8278 51.305
10623.0 11.4163 56.9544
10623.6 47.1065 59.4956
10624.2 14.5884 56.9146
10624.8 48.9325 59.0466
10625.4 74.71 55.9633
10626.0 41.2154 52.3536
10626.6 42.1843 52.074
10627.2 38.7749 52.471
10627.8 89.3843 51.7915
10628.4 41.8932 55.6533
10629.0 -22.2005 55.0584
10629.6 41.4093 55.7096
10630.2 -37.1997 51.4059
10630.8 -10.8152 52.1702
10631.4 24.1211 52.0492
10632.0 45.7799 51.7858
10632.6 25.7859 52.1564
10633.2 32.4129 52.4167
10633.8 56.7065 53.6265
10634.4 60.1447 54.0675
10635.0 19.3517 65.2386
10635.6 49.7008 66.7375
10636.2 18.2333 56.9802
10636.8 24.261 53.429
10637.4 -2.43794 52.9729
10638.0 19.8367 53.6139
10638.6 70.5377 53.8681
10639.2 61.5468 55.2377
10639.8 65.6552 59.7162
10640.4 21.3323 61.1144
10641.0 40.4111 60.9277
10641.6 -9.87974 59.0712
10642.2 98.0406 60.4768
10642.8 105.847 59.1145
10643.4 12.3919 55.3074
10644.0 19.4607 54.655
10644.6 44.8509 54.3291
10645.2 -34.4061 54.3973
10645.8 32.6836 72.3957
10646.4 88.7611 76.5287
10647.0 13.775 75.4943
10647.6 -4.10788 72.0878
10648.2 69.1699 64.5534
10648.8 46.0254 55.3727
10649.4 14.7238 55.742
10650.0 61.7999 55.6951
10650.6 18.0539 57.7449
10651.2 44.2433 61.9407
10651.8 32.1307 65.6588
10652.4 -27.0822 67.1056
10653.0 -37.6886 57.9866
10653.6 22.6718 56.1353
10654.2 7.62785 52.8361
10654.8 -12.5039 52.3153
10655.4 26.6963 52.593
10656.0 72.9693 53.0841
10656.6 16.7109 52.6434
10657.2 73.4425 52.5062
10657.8 43.0875 52.492
10658.4 12.7022 52.1411
10659.0 -30.6802 52.1961
10659.6 44.1338 52.481
10660.2 7.3694 52.3863
10660.8 8.74075 53.1689
10661.4 48.0228 52.5849
10662.0 5.67969 52.7873
10662.6 44.6991 52.3858
10663.2 70.7071 52.8234
10663.8 -9.25832 54.2481
10664.4 36.9743 55.3155
10665.0 78.7268 54.199
10665.6 32.5047 54.0679
10666.2 63.1712 53.746
10666.8 38.0309 53.8737
10667.4 9.15856 52.7449
10668.0 -6.38738 52.9722
10668.6 32.7752 53.2507
10669.2 46.8104 53.186
10669.8 40.1808 53.1191
10670.4 59.8473 53.0287
10671.0 7.30981 53.1471
10671.6 41.6112 53.1883
10672.2 45.8255 53.0934
10672.8 117.553 53.6017
10673.4 28.1882 53.757
10674.0 92.6433 54.5806
10674.6 38.5965 55.2817
10675.2 71.2591 64.1202
10675.8 30.1399 69.8785
10676.4 67.5279 70.2378
10677.0 -9.02567 63.7262
10677.6 23.8055 54.337
10678.2 44.2127 54.3104
10678.8 38.1888 54.0938
10679.4 49.2783 54.1899
10680.0 46.2732 55.4608
10680.6 87.7195 58.8818
10681.2 42.4846 56.2127
10681.8 -26.1807 56.1879
10682.4 50.7023 56.7791
10683.0 -2.68919 59.4289
10683.6 49.2043 61.1993
10684.2 -30.3232 63.695
10684.8 3.78809 68.5869
10685.4 1.4525 61.6754
10686.0 -17.005 63.4936
10686.6 0.453782 60.9215
10687.2 78.8408 64.2233
10687.8 29.7829 63.8923
10688.4 52.3833 64.0133
10689.0 24.6319 62.7304
10689.6 21.5082 59.2635
10690.2 -5.18002 59.158
10690.8 35.1959 59.2643
10691.4 34.8141 63.2958
10692.0 15.5845 63.7641
10692.6 58.1445 66.4647
10693.2 34.3199 59.2222
10693.8 28.318 55.0149
10694.4 109.3 61.0051
10695.0 -18.2933 64.1488
10695.6 40.2526 60.2279
10696.2 22.2229 72.4733
10696.8 52.6697 75.5679
10697.4 10.4586 75.7767
10698.0 15.7464 69.3482
10698.6 21.1132 57.3192
10699.2 49.2542 58.8505
10699.8 74.0622 60.2402
10700.4 11.4451 60.3115
10701.0 101.959 59.5252
10701.6 82.8475 56.3991
10702.2 74.793 60.3862
10702.8 38.912 66.8138
10703.4 59.9717 67.4046
10704.0 91.9765 67.0452
10704.6 7.08976 60.4323
10705.2 -0.978853 55.7241
10705.8 28.9975 55.3755
10706.4 -23.6624 55.1675
10707.0 2.99535 55.8927
10707.6 18.8052 55.8026
10708.2 18.7981 55.8929
10708.8 67.3934 55.9268
10709.4 11.1329 69.0846
10710.0 133.581 92.6064
10710.6 33.0575 95.6108
10711.2 29.0884 93.5585
10711.8 81.3138 74.1397
10712.4 55.0132 57.465
10713.0 30.372 56.7347
10713.6 61.8619 58.7261
10714.2 -11.2949 61.8769
10714.8 64.5467 62.1419
10715.4 32.2847 61.4499
10716.0 115.059 59.927
10716.6 15.1984 58.4244
10717.2 30.951 55.4841
10717.8 61.012 55.2262
10718.4 -12.6839 55.169
10719.0 1.23251 61.0214
10719.6 -77.3231 74.7488
10720.2 17.8733 77.0289
10720.8 85.4522 76.4679
10721.4 74.2565 70.2989
10722.0 29.936 61.257
10722.6 38.9197 79.3883
10723.2 48.9252 80.4624
10723.8 15.7105 81.5836
10724.4 -54.4731 80.2343
10725.0 49.3602 78.6245
10725.6 75.8455 77.6323
10726.2 -48.7971 76.0132
10726.8 24.7693 79.3168
10727.4 95.1753 121.666
10728.0 79.6879 157.753
10728.6 -123.546 159.812
10729.2 151.409 156.897
10729.8 19.2145 117.42
10730.4 -76.6473 76.6766
10731.0 57.9063 73.1917
10731.6 32.6799 72.3081
10732.2 20.8753 73.4869
10732.8 3.26856 73.3146
10733.4 -4.90784 73.0767
10734.0 27.642 71.3841
10734.6 -49.1848 70.5762
10735.2 22.1095 73.1577
10735.8 8.26723 75.5661
10736.4 25.4432 77.4828
10737.0 19.8428 83.884
10737.6 2.68273 74.8428
10738.2 12.5595 74.4304
10738.8 85.2549 73.8218
10739.4 -8.94272 69.4752
10740.0 70.3289 69.1769
10740.6 58.3149 68.4371
10741.2 44.8035 69.1157
10741.8 13.852 84.3971
10742.4 28.0901 108.739
10743.0 -69.2417 112.569
10743.6 -33.8743 111.901
10744.2 -28.0786 89.1266
10744.8 84.0836 69.0045
10745.4 -14.178 68.8656
10746.0 88.6158 68.6738
10746.6 17.2475 69.7351
10747.2 52.5626 69.4121
10747.8 34.6581 69.4573
10748.4 20.062 68.516
10749.0 83.3963 70.0602
10749.6 60.8827 105.824
10750.2 34.2118 154.91
10750.8 164.186 159.352
10751.4 157.361 155.494
10752.0 -71.2995 112.07
10752.6 21.3011 69.6613
10753.2 107.45 65.9845
10753.8 -33.4601 64.578
10754.4 9.2059 64.6948
10755.0 35.0191 64.4025
10755.6 66.8822 66.1654
10756.2 35.8149 65.2845
10756.8 7.18401 64.0626
10757.4 45.0737 63.79
10758.0 34.2118 63.7437
10758.6 32.5078 64.59
10759.2 26.4362 63.8472
10759.8 -0.130445 62.8173
10760.4 80.9324 62.7751
10761.0 22.6113 63.5269
10761.6 19.6116 65.8091
10762.2 -26.7914 67.0208
10762.8 4.4512 66.6732
10763.4 -29.5973 64.4618
10764.0 22.3067 62.2022
10764.6 66.9777 63.1128
10765.2 4.32757 69.1828
10765.8 0.983024 68.6735
10766.4 19.6991 61.5612
10767.0 66.6318 60.4331
10767.6 7.17707 60.096
10768.2 -6.73776 59.8173
10768.8 -12.5173 60.3401
10769.4 13.8008 60.4208
10770.0 34.4757 60.9428
10770.6 -60.9563 74.9961
10771.2 96.8997 99.1672
10771.8 59.9885 103.286
10772.4 99.7048 102.51
10773.0 -23.4586 89.961
10773.6 -3.69571 63.116
10774.2 7.92162 59.4094
10774.8 22.0228 59.2736
10775.4 13.1492 58.851
10776.0 67.6569 58.2836
10776.6 33.9932 58.2891
10777.2 43.9671 58.3894
10777.8 75.5446 58.4666
10778.4 43.9039 58.2865
10779.0 26.4237 58.2312
10779.6 50.8043 58.4456
10780.2 34.0099 57.948
10780.8 18.9882 58.5348
10781.4 84.2811 58.5665
10782.0 6.69986 60.5489
10782.6 23.9968 63.7353
10783.2 -1.13027 63.3257
10783.8 75.8184 64.591
10784.4 41.7801 61.1931
10785.0 -5.04906 56.7242
10785.6 61.4361 56.2141
10786.2 25.8796 56.3553
10786.8 14.598 55.7218
10787.4 58.0644 55.7322
10788.0 39.6192 55.1602
10788.6 45.5022 55.3156
10789.2 38.6646 54.8692
10789.8 11.5206 54.7149
10790.4 17.0842 54.5839
10791.0 33.3722 55.1511
10791.6 35.3151 56.0642
10792.2 49.9754 57.4738
10792.8 27.848 58.0387
10793.4 33.2529 58.3148
10794.0 22.7506 57.3472
10794.6 15.459 55.9154
10795.2 17.6029 54.0384
10795.8 -10.7368 52.7848
10796.4 27.6529 51.8914
10797.0 19.6378 51.626
10797.6 4.6893 51.5234
10798.2 38.2044 51.9066
10798.8 31.3657 52.3051
10799.4 37.9906 53.5802
10800.0 84.4193 54.7234
10800.6 38.6351 53.8838
10801.2 29.5434 54.6184
10801.8 -9.48042 53.1828
10802.4 87.7362 52.2548
10803.0 -64.2809 51.7071
10803.6 3.82128 50.4116
10804.2 -13.3956 50.3548
10804.8 6.12111 49.8261
10805.4 25.4965 49.6551
10806.0 61.0055 50.4357
10806.6 58.9149 51.0436
10807.2 36.4951 54.1596
10807.8 -24.406 50.5182
10808.4 74.1058 49.7612
10809.0 29.9467 49.6155
10809.6 15.0959 52.834
10810.2 40.6196 58.1879
10810.8 42.8897 62.8175
10811.4 34.146 57.2259
10812.0 -0.65738 49.7903
10812.6 69.9935 49.8762
10813.2 46.2138 58.6696
10813.8 -0.620376 61.3525
10814.4 77.8611 63.0806
10815.0 64.9857 56.0541
10815.6 40.058 53.4385
10816.2 23.8998 48.823
10816.8 43.3012 48.9696
10817.4 -45.1324 49.3452
10818.0 83.6457 49.5936
10818.6 -2.22485 50.3467
10819.2 74.0304 50.2203
